report_order,city_id,name,teryt,prg_object_id,prg_unit_type,teryt_type,unit_type,extracted_at_utc,source_crs,area_epsg2180_m2,geometry_type,multipart,geos_is_valid,invalidity_reason,source_wfs_response_sha256,make_valid_applied
1,bialystok,Białystok,2061011,2753749,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,102178558.849,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
2,bydgoszcz,Bydgoszcz,0461011,10027391,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,175832535.376,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
3,gdansk,Gdańsk,2261011,10021887,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,682005967.41,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
4,gorzow_wielkopolski,Gorzów Wielkopolski,0861011,10019134,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,85742807.352,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
5,katowice,Katowice,2469011,10036150,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,164498278.377,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
6,kielce,Kielce,2661011,2747998,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,109529310.698,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
7,krakow,Kraków,1261011,10016301,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,326429348.93,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
8,lublin,Lublin,0663011,10002086,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,147479996.57,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
9,lodz,Łódź,1061011,10027506,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,292850136.805,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
10,olsztyn,Olsztyn,2862011,2772685,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,88219832.128,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
11,opole,Opole,1661011,10040196,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,148836184.758,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
12,poznan,Poznań,3064011,10027538,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,261677978.505,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
13,rzeszow,Rzeszów,1863011,10036131,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,128970131.849,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
14,szczecin,Szczecin,3262011,10004395,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,300732828.134,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
15,torun,Toruń,0463011,2788878,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,115550744.991,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
16,warszawa,Warszawa,1465011,2799189,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,516723744.607,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
17,wroclaw,Wrocław,0264011,10027472,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,292523688.828,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
18,zielona_gora,Zielona Góra,0862011,10019236,GMI,1,gmina miejska,2026-07-26T16:04:26+00:00,EPSG:2180,275348752.91,POLYGON,false,true,,adf261aae31257dd24843b6f6c0e694efb40041aae3913b1c27aa4801866974c,false
