candidate_order_id,nominal_order,model,terminal_city,result_category,exact_duration_s,exact_distance_m,failure_reason,failing_city_transition_or_state,first_hit_order,exception_error_text
A,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-500,Białystok,FEASIBLE,239029.1,2793456.866,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
B,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-500,Szczecin,FEASIBLE,244206.5,2738447.54,,,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
C,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-500,Szczecin,FEASIBLE,244663.9,2758081.277,,,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
fixed-A,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-500,Białystok,FEASIBLE,239029.1,2793456.866,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
fixed-B,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-500,Szczecin,FEASIBLE,244206.5,2738447.54,,,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
fixed-C,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-500,Szczecin,FEASIBLE,244663.9,2758081.277,,,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
manifest-order,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-500,Białystok,FEASIBLE,239029.1,2793456.866,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
reverse-tail,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Toruń -> Bydgoszcz -> Poznań -> Szczecin -> Gorzów Wielkopolski -> Zielona Góra -> Wrocław -> Opole -> Katowice -> Kraków -> Rzeszów -> Lublin -> Kielce -> Łódź,M-500,Łódź,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=5789,Warszawa,
deterministic-random-restart-0,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów,M-500,Rzeszów,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=4989,Warszawa,
deterministic-random-restart-1,Warszawa -> Wrocław -> Katowice -> Gorzów Wielkopolski -> Szczecin -> Zielona Góra -> Bydgoszcz -> Kraków -> Opole -> Kielce -> Rzeszów -> Poznań -> Toruń -> Łódź -> Gdańsk -> Olsztyn -> Lublin -> Białystok,M-500,Białystok,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=4893,Warszawa,
