candidate_order_id,nominal_order,model,terminal_city,result_category,exact_duration_s,exact_distance_m,failure_reason,failing_city_transition_or_state,first_hit_order,exception_error_text
A,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-boundary,Białystok,FEASIBLE,248121.7,2831884.895,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
B,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-boundary,Szczecin,FEASIBLE,230495.6,2605677.749,,,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
C,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-boundary,Szczecin,FEASIBLE,246387.2,2728699.705,,,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
fixed-A,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-boundary,Białystok,FEASIBLE,248121.7,2831884.895,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
fixed-B,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-boundary,Szczecin,FEASIBLE,230495.6,2605677.749,,,Warszawa -> Łódź -> Toruń -> Bydgoszcz -> Gdańsk -> Olsztyn -> Białystok -> Lublin -> Rzeszów -> Kielce -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
fixed-C,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,M-boundary,Szczecin,FEASIBLE,246387.2,2728699.705,,,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Bydgoszcz -> Toruń -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Poznań -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin,
manifest-order,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,M-boundary,Białystok,FEASIBLE,248121.7,2831884.895,,,Warszawa -> Łódź -> Kielce -> Lublin -> Rzeszów -> Kraków -> Katowice -> Opole -> Wrocław -> Zielona Góra -> Gorzów Wielkopolski -> Szczecin -> Poznań -> Bydgoszcz -> Toruń -> Gdańsk -> Olsztyn -> Białystok,
reverse-tail,Warszawa -> Białystok -> Olsztyn -> Gdańsk -> Toruń -> Bydgoszcz -> Poznań -> Szczecin -> Gorzów Wielkopolski -> Zielona Góra -> Wrocław -> Opole -> Katowice -> Kraków -> Rzeszów -> Lublin -> Kielce -> Łódź,M-boundary,Łódź,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=6141,Warszawa,
deterministic-random-restart-0,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów,M-boundary,Rzeszów,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=5149,Warszawa,
deterministic-random-restart-1,Warszawa -> Wrocław -> Katowice -> Gorzów Wielkopolski -> Szczecin -> Zielona Góra -> Bydgoszcz -> Kraków -> Opole -> Kielce -> Rzeszów -> Poznań -> Toruń -> Łódź -> Gdańsk -> Olsztyn -> Lublin -> Białystok,M-boundary,Białystok,TIMEOUT,,,fixed-order search exceeded 0.250s,expanded_labels=4797,Warszawa,
