terminal_city,result_category,best_known_feasible_cost_s,distance_m,city_order,actual_first_hit_order,failure_reason,failing_transition_or_state,provenance
Łódź,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Łódź,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=9533,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":9533}"
Kielce,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kielce,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=12413,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":12413}"
Lublin,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Lublin,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=14269,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":14269}"
Rzeszów,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=4701,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":4701,""scheduled_result_reused_from"":""deterministic-random-restart-0""}"
Kraków,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kraków,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=14429,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":14429}"
Katowice,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Poznań -> Toruń -> Rzeszów -> Katowice,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=9533,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":9533}"
Opole,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Opole,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=16829,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":16829}"
Wrocław,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Wrocław,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=8285,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":8285}"
Zielona Góra,TIMEOUT,,,Warszawa -> Olsztyn -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Zielona Góra,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=17757,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":17757}"
Gorzów Wielkopolski,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Gorzów Wielkopolski,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=13917,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":13917}"
