terminal_city,result_category,best_known_feasible_cost_s,distance_m,city_order,actual_first_hit_order,failure_reason,failing_transition_or_state,provenance
Łódź,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Łódź,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=13373,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":13373}"
Kielce,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kielce,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=10237,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":10237}"
Lublin,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Lublin,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=19709,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":19709}"
Rzeszów,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=5149,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":5149,""scheduled_result_reused_from"":""deterministic-random-restart-0""}"
Kraków,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Kraków,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=16797,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":16797}"
Katowice,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Poznań -> Toruń -> Rzeszów -> Katowice,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=21021,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":21021}"
Opole,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Opole,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=9149,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":9149}"
Wrocław,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Wrocław,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=15581,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":15581}"
Zielona Góra,TIMEOUT,,,Warszawa -> Olsztyn -> Opole -> Wrocław -> Łódź -> Gorzów Wielkopolski -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Zielona Góra,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=16829,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":16829}"
Gorzów Wielkopolski,TIMEOUT,,,Warszawa -> Olsztyn -> Zielona Góra -> Opole -> Wrocław -> Łódź -> Gdańsk -> Kielce -> Kraków -> Lublin -> Bydgoszcz -> Białystok -> Szczecin -> Katowice -> Poznań -> Toruń -> Rzeszów -> Gorzów Wielkopolski,Warszawa,fixed-order search exceeded 0.250s,expanded_labels=15869,"{""algorithm"":""fixed_order_product_graph_search"",""stage"":""Stage 3 upper-bound fixed-order evaluation"",""expanded_labels"":15869}"
